questionType,logs
Comment proposer un sujet ?,Bonjour je voulais vous informer d'une manifestation des ambulanciers du CHU de Montpellier qui aura lieu le 1er juillet 2021 à 10 heures sur le rond point du CHU Lapeyronie .
Replay,"je regarde coeur océan"" en replay"
Comment contacter le service client ?,"Ce film a-t-il eu des séquences coupées? en 2002, je l'avais vu en salle avec une séquence qui me semble aujourd'hui coupée."
Quel est le programme TV ?,encore une question: est-il possible qu'il y ait des re diffusions et si oui comment être informé
J'aimerai poser une question autour du coronavirus,Pourquoi dire que le président a été contaminé hier au repas alors que cela a remonte à 48 h ????
S'abonner ou se désabonner à nos newsletters,Pourquoi il est impossible de se désabonner des alertes de france info que je reçois 5 fois par jour.. ?? c'est pénible alors que j'ai déjà téléchargé l'Appli France INfo sur mon portable; Veuillez annuler mon abonnement car je n'arrive pas
Comment contacter le service client ?,Je souhaite adresser un email à la présidente de FT pour l'absence de visibilité des Outremers depuis la dispariation de France O
J'aimerai poser une question autour du coronavirus,J ai 87ans et lmpossible de se faire vacciner
S'abonner ou se désabonner à nos newsletters,je ne veux pas recevoir de mails
J'aimerai poser une question autour du coronavirus,Bonjour j habite dans les côtes d armor j ai 1 maison dans le Morbihan puis je me déplacer pour voir si tout va bien merci
J'aimerai poser une question autour du coronavirus,masque
J'aimerai poser une question autour du coronavirus,Avoir contracté la Covid 19 nous protège-t-il des différents variants en circulation ?
Replay,"Comment regarder sur ma tablette apres 6h du matin, U sigrandsoleil,"
Mon compte france.tv,je ne peux plus me connecter à France.tv&
Tour de France 2021,Question concernant le Tour de France : ne devait-il pas y avoir quelques zones où les coureurs pouvaient se délester de leurs contenants vides ? On en voit déposer les bidons dans les voitures suiveuses mais souvent beaucoup de jets n'impo
Tour de France 2021,DACE CENTER TOUR DE FRANCE NE FONCTIONNE PAS
Comment proposer un sujet ?,Faites vous des reportages sur des projets innovants en matiere de navigation?
Mon compte france.tv,Je n’arrive pas à me connecter une roue tourne tout le temps
Comment contacter un animateur ?,ecrire a un journaliste
S'abonner ou se désabonner à nos newsletters,Je veut me désabonner
J'habite à l'étranger,"Bonjour, en temps que Suisse, est.-ce que je peux m'inscrire ? Salutations"
J'aimerai poser une question autour du coronavirus,Quel horizon pour les étudiants médicaux et para me
Replay,pourquoi le replay de l'emission on est en direct ne fonctionne pas sur la tele d'orange?
Replay,pourquoi l'émission en relay de météo à la carte de ce jour (mardi 30 juin) ne dure que 5 minutes!!
Mon compte france.tv,"ma patience a des limites, vous savez. Je voudrais juste regarder une video, me connecter avec mon nouveau mot de passe, que vous avez accepté......"
J'aimerai poser une question autour du coronavirus,Ou poser des questions ?
Comment contacter un animateur ?,"Ne sachant pas à quel service envoyer ma remarque j'envoie ce mail à l'ensemble des journalistes,présentateurs,chroniqueurs divers qui depuis 2/3 ans utilisent ce type de phrase qui m'irrite et n'est sûrement pas conforme à la"
Replay,comment enregistrer une video dans mes favoris
S'abonner ou se désabonner à nos newsletters,je voudrais me d sabonner de franceinfo comment faire j ai envoyer deja 2 lettres et je reçois toujour les actualitees dans ma boite mail j en ai vraiment assez
Mon compte france.tv,creation de compte
Comment proposer un sujet ?,Expliquer ma situation professionnelle et personnel
